;word;synonim
1244;говорят;['считается', 'якобы', 'чу', 'слышно', 'будто']
1245;переходить;[]
1246;покупатель;['клиент', 'потребитель', 'приобретатель', 'закупщик', 'заказчик']
1247;танк;['оружие', 'отсек', 'тридцатьчетверка', 'бак', 'цистерна']
1248;торопиться;[]
1249;затрата;['расход', 'перевод', 'потребление', 'расходование', 'трата']
1250;строка;['строчка', 'пункт', 'телестрока', 'документострока', 'абзац']
1251;единица;['денье', 'миллимикрокюри', 'песо', 'инерта', 'волость']
1252;обработка;['переработка', 'очищение', 'металлообработка', 'термообработка', 'улучшение']
1253;чемпионат;['соревнование', 'состязание', 'выставка', 'первенство']
1254;электронный;['автоэлектронный', 'микроэлектронный', 'криоэлектронный', 'одноэлектронный', 'четырехэлектронный']
1255;выиграть;[]
1256;одинаковый;['похожий', 'общий', 'единообразный', 'параллельный', 'равноценный']
1257;лаборатория;['лаб', 'химбаклаб', 'фотоминилаборатория', 'кинолаборатория', 'баклаб']
1258;химический;['синтетический', 'газохимический', 'микрохимический', 'авиахимический', 'агрохимический']
1259;милиционер;['мент', 'лягавый', 'мусор', 'ментяра', 'ментурик']
1260;надеть;[]
1261;регистрация;['оформление', 'запись', 'фиксирование', 'отмечание', 'фиксация']
1262;жаль;['досадно', 'жалко', 'обидно', 'неприятно', 'прискорбно']
1263;изделие;['продукция', 'товар', 'продукт', 'вещь', 'работа']
1264;кормить;['питать', 'насыщать', 'откармливать', 'содержать']
1265;молитва;['моление', 'антифон', 'каддиш', 'литания', 'намаз']
1266;там;['потом', 'после', 'засим', 'инуде', 'онде']
1267;погода;['беспогодица', 'непогода', 'погодка', 'мокропогодица', 'мокрядь']
1268;съезд;['курултай', 'собрание', 'конгресс', 'партсъезд', 'сход']
1269;телевидение;['промтелевидение', 'телевещание', 'телевизия', 'рентгенотелевидение', 'тв']
1270;введение;['ввод', 'вступление', 'внедрение', 'интубация', 'предисловие']
1271;переживать;[]
1272;потребовать;[]
1273;временной;[]
1274;пресса;['печать', 'отклик', 'кинопресса', 'журналист']
1275;цепь;['гряда', 'бридель', 'дректов', 'борг', 'сучная']
1276;жалеть;[]
1277;корреспондент;['журналист', 'юнкор', 'радиокорреспондент', 'военкор', 'селькор']
1278;планета;['мир', 'часть', 'земля', 'свет', 'планетоид']
1279;сохраниться;[]
1280;вынести;[]
1281;минимум;['минимально', 'партминимум', 'техминимум', 'узел']
1282;обсуждение;['рассмотрение', 'обдумывание', 'анализ', 'пересуды', 'взвешивание']
1283;полк;['авиаполк', 'артполк', 'множество', 'легион', 'толпа']
1284;еврейский;['жидовский', 'израильский', 'иудейский']
1285;немало;['довольно', 'достаточно', 'порядочно', 'порядком', 'изрядно']
1286;отказываться;[]
1287;окружающий;['обступающий', 'оцепляющий', 'соседний', 'соседственный', 'соседский']
1288;опытный;['сведущий', 'квалифицированный', 'грамотный', 'искушенный', 'видалый']
1289;вокзал;['автовокзал', 'аэровокзал', 'метровокзал', 'вокзальчик']
1290;гибель;['конец', 'погибель', 'смерть', 'кораблекрушение', 'могила']
1291;заглянуть;[]
1292;защищать;['предохранять']
1293;космический;['микрокосмический', 'макрокосмический', 'мировой', 'грандиозный', 'громадный']
1294;основать;[]
1295;прокуратура;['генпрокуратура']
1296;согласие;['консенсус', 'изволение', 'примирение', 'агремент', 'санкция']
1297;конь;['скакун', 'жеребец', 'гиппокамп', 'буцефал', 'пегас']
1298;лишить;[]
1299;меньший;['младший', 'меньшой', 'наименьший', 'минимальный', 'меньшенький']
1300;могила;['захоронение', 'погребение', 'могилка', 'гробница', 'яма']
1301;непосредственно;['напрямую', 'прямо', 'естественно', 'лично', 'непринужденно']
1302;пожать;[]
1303;сколько;['насколько', 'сколь', 'почем', 'как', 'сколечко']
1304;стенка;['мебель', 'контрфорс', 'парапет', 'больверк', 'миокард']
1305;тайный;['внутренний', 'двухдонный', 'подпольный', 'подметный', 'потаенный']
1306;тревога;['беспокойство', 'волнение', 'паника', 'забота', 'сполох']
1307;закрытый;['прикрытый', 'запертый', 'заволоченный', 'зажатый', 'задернутый']
1308;напряжение;['накал', 'интенсивность', 'тетанус', 'потуга', 'микронапряжение']
1309;отличный;['превосходный', 'отменный', 'прекрасный', 'великолепный', 'идеальный']
1310;уезжать;[]
1311;логика;['разумность', 'логичность', 'закономерность', 'трезвомыслие', 'трезвость']
1312;неизвестно;['незнакомо', 'невесть', 'незнамо', 'невиданно', 'малоизвестно']
1313;приятно;['уютно', 'мягко', 'комфортно', 'угодно', 'симпатично']
1314;путем;['посредством', 'через', 'чрез', 'толком', 'толково']
1315;распоряжение;['ассизы', 'поручение', 'приказ', 'предначертание', 'приказание']
1316;воскликнуть;[]
1317;дрожать;[]
1318;задание;['задача', 'поручение', 'нагрузка', 'упражнение', 'нормозадание']
1319;ведущий;['тамада', 'центровой', 'главный', 'пилотирующий', 'головной']
1320;кошка;['киса', 'кошечка', 'кисонька', 'киска', 'кисуля']
1321;распределение;['разделение', 'размещение', 'ранжировка', 'выделение', 'спецраспределение']
1322;верно;['достоверно', 'правильно', 'чисто', 'несомненно', 'бесспорно']
1323;сообщать;[]
1324;крепко;['надежно', 'сильно', 'забористо', 'прочно', 'непреклонно']
1325;сценарий;['прогноз', 'изложение', 'произведение', 'план', 'схема']
1326;бригада;['вахта', 'вахтовка', 'авиабригада', 'агитбригада', 'спецбригада']
1327;пятно;['загрязнение', 'блик', 'развод', 'спилома', 'макула']
1328;гроб;['гробик', 'домовина', 'дом', 'гробища', 'конец']
1329;жениться;[]
1330;лезть;[]
1331;ограничение;['лимит', 'урезка', 'притеснение', 'противопоказание', 'сдерживание']
1332;верховный;['высший', 'главный', 'главенствующий', 'господствующий', 'руководящий']
1333;волноваться;[]
1334;надпись;['гравировка', 'текст', 'пометка', 'авизо', 'индоссамент']
1335;поразить;[]
1336;следовательно;['следственно', 'получается', 'стало', 'поэтому', 'видно']
1337;термин;['понятие', 'определение', 'название', 'слово', 'бог']
1338;ткань;['материал', 'полотно', 'сукно', 'материя', 'текстиль']
1339;уникальный;['исключительный', 'неповторимый', 'единственный', 'особенный', 'оригинальный']
1340;велеть;[]
1341;визит;['посещение', 'приход', 'выезд']
1342;каков;[]
1343;океан;['бог', 'титан']
1344;убивать;[]
1345;популярный;['распространенный', 'востребованный', 'известный', 'расхожий', 'общераспространенный']
1346;предприниматель;['коммерсант', 'бизнесмен', 'нэпман', 'кооператор', 'промышленник']
1347;прибор;['устройство', 'приспособление', 'инструмент', 'измеритель', 'датчик']
1348;решиться;[]
1349;уважение;['признание', 'пиетет', 'преклонение', 'респект']
1350;ведомство;['постановление', 'герольдия']
1351;добраться;['прибыть', 'приехать']
1352;другое;[]
1353;задуматься;[]
1354;паспорт;['документ', 'свидетельство', 'вид', 'загранпаспорт', 'диппаспорт']
1355;пауза;['перерыв', 'приостановка', 'интервал', 'передышка', 'расстановка']
1356;взрослый;['великовозрастный', 'большой', 'зрелый', 'старший', 'совершеннолетний']
1357;дата;['датировка', 'число', 'срок', 'годовщина', 'помета']
1358;нуждаться;[]
1359;позвать;[]
1360;постановка;['представление', 'установка', 'расстановка', 'помещение', 'радиопостановка']
1361;поступок;['действие', 'деяние', 'подвиг', 'шаг', 'конкретика']
1362;ствол;['брандспойт', 'выработка', 'лайнер', 'лейнер', 'фуст']
1363;готовность;['подготовленность', 'завершенность', 'решимость', 'желание', 'стремление']
1364;остальное;[]
1365;тепло;['нежно', 'жарко', 'сердечность', 'теплота', 'горячо']
1366;удивляться;[]
1367;адвокат;['заступник', 'юрист', 'защитник', 'стряпчий', 'барристер']
1368;здравствовать;[]
1369;контракт;['договор', 'подряд', 'ангажемент', 'условия', 'сделка']
1370;передавать;[]
1371;радио;['радиопередача', 'радиостанция', 'передача']
1372;розовый;['радужный', 'розоватый', 'розов', 'краснощекий', 'розоволицый']
1373;скрывать;[]
1374;академик;['ученый', 'профессор', 'киноакадемик', 'телеакадемик']
1375;запомнить;[]
1376;кампания;['поход', 'война', 'период', 'агиткампания', 'деятельность']
1377;оборот;['грузооборот', 'каденция', 'событие', 'метонимия', 'оксиморон']
1378;скромный;['воздержный', 'тихий', 'безыскусный', 'беспритязательный', 'малопритязательный']
1379;технологический;['спецтехнологический', 'электротехнологический', 'технологичный']
1380;агентство;['компания', 'фирма', 'бюро', 'учреждение']
1381;зверь;['хищник', 'зверюга', 'животное', 'скот', 'животина']
1382;нация;['этнос', 'народ', 'национальность', 'язык', 'племя']
1383;потребитель;['заказчик', 'покупатель', 'комитент', 'водопотребитель', 'товаропотребитель']
1384;старинный;['антикварный', 'давний', 'старый', 'вековой', 'дедовский']
1385;банка;['мель', 'бикс', 'скамейка', 'сиденье', 'чаша']
1386;коробка;['коробок', 'жестянка', 'здание', 'мульда', 'гидрокоробка']
1387;осуществление;['реализация', 'исполнение', 'выполнение', 'установление', 'устройство']
1388;подавать;[]
1389;покинуть;[]
1390;послушать;[]
1391;секрет;['тайна', 'подноготная', 'загадка', 'изюминка', 'секретка']
1392;темп;['ритм', 'скорость', 'престиссимо', 'аллегретто', 'аллегро']
1393;четко;['выразительно', 'толково', 'разборчиво', 'положительно', 'раздельно']
1394;метро;['метрополитен', 'подземка']
1395;пережить;[]
1396;дедушка;['дедулечка', 'дедуля', 'дедок', 'деда', 'дедулька']
1397;инвестиция;['вложение', 'вклад', 'вкладывание', 'рискоинвестиция']
1398;непонятный;['непроясненный', 'таинственный', 'маловразумительный', 'загадочно', 'расплывчатый']
1399;продолжить;[]
1400;раздаться;[]
1401;бесконечный;['безграничный', 'нескончаемый', 'большой', 'безмерный', 'неиссякающий']
1402;десятилетие;['годовщина']
1403;независимый;['свободный', 'самостоятельный', 'самобытный', 'неподверженный', 'самосильный']
1404;преимущество;['достоинство', 'превосходство', 'выгода', 'привилегия', 'плюс']
1405;публикация;['статья', 'реклама', 'печатание', 'работа', 'выпускание']
1406;стихотворение;['произведение', 'элегия', 'эпод', 'стансы', 'триолет']
1407;везде;['всюду', 'повсюду', 'повсеместно', 'всеместно', 'повсемственно']
1408;относительно;['сравнительно', 'условно', 'касательно', 'насчет', 'релятивно']
1409;отчет;['доклад', 'суждение', 'выписка', 'рапорт', 'экспозе']
1410;пальто;['ватерпруф', 'манто', 'пальтецо', 'коротайка', 'бурнус']
1411;узел;['устройство', 'теплоузел', 'аэроузел', 'узелочек', 'пучок']
1412;нежный;['деликатный', 'мягкий', 'слабый', 'тонкий', 'воздушный']
1413;обмен;['бартер', 'погашение', 'вымен', 'документообмен', 'продуктообмен']
1414;порода;['амфибол', 'перлит', 'магнезит', 'базальт', 'наждак']
1415;прибыль;['доход', 'профит', 'выгода', 'выручка', 'прибыток']
1416;решительно;['категорически', 'категорично', 'целиком', 'безапелляционно', 'бесстрашно']
1417;тоска;['горе', 'кручина', 'уныние', 'тоскливость', 'меланхолия']
1418;заболевание;['патология', 'недуг', 'болезнь', 'хворь', 'недомогание']
1419;стремление;['старание', 'тяготение', 'готовность', 'желание', 'устремление']
1420;фестиваль;['карнавал', 'смотр', 'встреча', 'бьеннале', 'радиофестиваль']
1421;шкаф;['мебель', 'сервант', 'буфет', 'формореал', 'шкафчик']
1422;горе;['несчастие', 'прискорбие', 'бездолье', 'беда', 'печаль']
1423;забор;['ограда', 'изгородь', 'ограждение', 'частокол', 'плетень']
1424;оттого;['затем', 'поэтому', 'потому', 'почему', 'посему']
1425;вооружение;['оружие', 'снаряжение', 'авиавооружение', 'артвооружение', 'снабжение']
1426;зимний;['снежный', 'раннезимний', 'дворец']
1427;мебель;['гарнитур', 'обстановка', 'набор', 'пуф', 'лонгшез']
1428;мороз;['стужа', 'холод']
1429;оказывать;[]
1430;превышать;[]
1431;талантливый;['способный', 'даровитый', 'гениальный', 'небесталанный', 'мозговитый']
1432;мирный;['бесконфликтный', 'безмятежный', 'безбурный', 'полюбовный', 'спокойный']
1433;перемена;['изменение', 'смена', 'чередование', 'переворот', 'ломка']
1434;костер;['кострище', 'костерчик', 'огнище', 'огонь']
1435;ловить;[]
1436;марка;['знак', 'проба', 'единица', 'сигнет', 'марочка']
1437;забрать;[]
1438;протокол;['акт', 'документ', 'соглашение', 'программа', 'алгоритм']
1439;ужасный;['страшный', 'адов', 'чудовищный', 'дикий', 'жуткий']
1440;испугаться;[]
1441;утвердить;[]
1442;впоследствии;['далее', 'после', 'попозже', 'потом', 'дальше']
1443;квадратный;[]
1444;привычка;['обыкновение', 'повадка', 'навык', 'шаблон', 'умение']
1445;применять;['использовать', 'задействовать', 'реализовывать', 'практиковать', 'употреблять']
1446;трудность;['сложность', 'препятствие', 'осложнение', 'тягость', 'непосильность']
1447;убедиться;[]
1448;заменить;[]
1449;грязь;['слякоть', 'месиво', 'пятно', 'распущенность', 'бесстыдство']
1450;матч;['соревнование', 'турнир', 'состязание', 'марафон', 'встреча']
1451;незнакомый;['неизвестный', 'неведомый', 'безвестный', 'безызвестный', 'чужой']
1452;плод;['ягода', 'овощ', 'произведение', 'померанец', 'помона']
1453;приглашать;[]
1454;спрос;['потребность', 'нужда', 'нуждаемость', 'надобность', 'требования']
1455;строительный;['железобетонный', 'авиастроительный', 'авиаракетостроительный', 'общестроительный', 'строевой']
1456;крупнейший;['колоссальный', 'величайший', 'виднейший', 'огромнейший', 'громаднейший']
1457;пассажир;['автопассажир', 'путешественник', 'авиапассажир', 'транзитник', 'седок']
1458;привлечь;[]
1459;стандарт;['эталон', 'гост', 'образец', 'шаблон', 'трафарет']
1460;финансирование;['инвестирование', 'оплачивание', 'субсидирование']
1461;мотор;['двигатель', 'гидромотор', 'гидродвигатель', 'электромотор', 'электродвигатель']
1462;стадия;['этап', 'фаза', 'период', 'ступень', 'доводка']
1463;густой;['насыщенный', 'темный', 'густотертый', 'интенсивный', 'тягучий']
1464;действующий;['взаимодействующий', 'шурующий', 'ходовой', 'делающий', 'функционирующий']
1465;звание;['титул', 'чин', 'ранг', 'бригадир', 'майор']
1466;надежный;['проверенный', 'безопасный', 'прочный', 'верный', 'основательный']
1467;утверждение;['высказывание', 'заявление', 'констатация', 'тезис', 'согласие']
1468;критерий;['условие', 'показатель', 'параметр', 'оценка', 'характеристика']
1469;очевидный;['бесспорный', 'несомненный', 'понятный', 'прозрачный', 'отчетливый']
1470;пожилой;['солидный', 'поседелый', 'немолодой', 'старый', 'престарелый']
1471;везти;[]
1472;север;['норд', 'полночь', 'полуночь', 'провинция', 'надбавка']
1473;убрать;[]
1474;борт;['алмаз', 'бок', 'край', 'граница', 'штирборт']
1475;наказание;['репрессия', 'плата', 'кара', 'казнь', 'штраф']
1476;предположить;[]
1477;раздел;['категория', 'область', 'разъединение', 'рубрика', 'разрез']
1478;аналогичный;['подобный', 'сродный', 'похожий', 'сходный', 'схожий']
1479;законный;['легальный', 'легитимный', 'правильный', 'лигитимный', 'обоснованный']
1480;конституция;[]
1481;сектор;['зона', 'район', 'сегмент', 'часть', 'раздел']
1482;склад;['хранилище', 'конструкция', 'строение', 'норов', 'нефтесклад']
1483;сохранение;['прибережение', 'зарезервирование', 'поддержание', 'поддержка', 'удержание']
1484;таковой;['такой', 'таковский', 'подобный', 'этакий', 'эдакий']
1485;учение;['подготовка', 'учеба', 'обучение', 'натаскивание', 'креационизм']
1486;карандаш;['автокарандаш', 'карандашик', 'рашкуль', 'сангина', 'пастель']
1487;летать;[]
1488;мотив;['аргумент', 'побуждение', 'лейтмотив', 'мелодия', 'повод']
1489;муниципальный;['магистратский']
1490;распространение;['популяризация', 'передача', 'рассылка', 'пропаганда', 'генерализация']
1491;арест;['задержание', 'интернирование', 'повязка']
1492;знакомство;['ознакомление', 'завязка', 'осведомленность', 'приобщение', 'съем']
1493;максимальный;['наибольший', 'наивысший', 'предельный', 'рекордный', 'пиковый']
1494;неприятный;['нежелательный', 'гадкий', 'отвратительный', 'постылый', 'противный']
1495;успешно;['удачно', 'благополучно', 'результативно', 'небезуспешно', 'споро']
1496;мэр;['градоначальник', 'городничий']
1497;остальные;['оставшиеся', 'другие', 'прочие', 'накипь']
1498;признавать;[]
1499;символ;['знак', 'эмблема', 'обозначение', 'мандала', 'мандорла']
1500;повести;[]
1501;подчеркнуть;[]
1502;покрыть;[]
1503;полномочие;['обязательства', 'обязательство']
1504;предпочитать;[]
1505;прислать;[]
1506;уверенность;['решительность', 'убежденность', 'вера', 'твердость', 'смелость']
1507;безусловно;['несомненно', 'разумеется', 'бесспорно', 'конечно', 'естественно']
1508;близко;['вплотную', 'вблизи', 'поблизости', 'близ', 'возле']
1509;отряд;['гильдия', 'легион']
1510;жаловаться;[]
1511;разведка;['аэроразведка', 'каротаж', 'сейсморазведка', 'фоторазведка', 'электроразведка']
1512;решаться;[]
1513;успокоиться;[]
1514;исключить;[]
1515;лечение;['терапия', 'врачевание', 'излечение', 'светолечение', 'грязеглиноторфолечение']
1516;мода;['тренд', 'популярность', 'веяние', 'привычка', 'манера']
1517;особенный;['неповторимый', 'исключительный', 'необыкновенный', 'отличный', 'специфический']
1518;прозрачный;['кристальный', 'просвечивающий', 'лессирующий', 'бесспорный', 'очевидный']
1519;церковный;['конфессиональный', 'духовный', 'божественный', 'храмовый', 'храмный']
1520;громкий;['шумный', 'истошный', 'зычный', 'оглушительный', 'звонкий']
1521;отсутствовать;[]
1522;поражение;['провал', 'погром', 'разгром', 'проигрыш', 'неудача']
1523;рубашка;['одежда', 'рубаха', 'сорочка', 'слой', 'тельник']
1524;луна;['месяц', 'полумесяц', 'спутник', 'селена', 'богиня']
1525;нужда;['потребность', 'надобность', 'необходимость', 'лишение', 'неволя']
1526;привет;['здравствуй', 'здравствуйте', 'шелом', 'приветик', 'приветствую']
1527;собор;['храм', 'святилище', 'церковь', 'собрание', 'съезд']
1528;съемка;['телесъемка', 'телефотосъемка', 'контражур', 'микросъемки', 'микростереосъемка']
1529;владеть;[]
1530;груз;['багаж', 'ноша', 'тяжесть', 'поклажа', 'клажа']
1531;подробность;['детальность', 'доскональность', 'мелочь', 'частность', 'деталь']
1532;трагедия;['горе', 'беда', 'невзгода', 'зарез', 'мельпомена']
1533;самостоятельный;['автономный', 'самодостаточный', 'автокефальный', 'отдельный', 'неординарный']
1534;сзади;['назади', 'позади', 'кзади', 'сзаду', 'петушком']
1535;политик;['дипломат', 'политический', 'политзаключенный']
1536;торчать;[]
1537;луч;['лучик', 'лазер', 'линия', 'полоса', 'поток']
1538;спасение;['вызволение', 'избавление', 'сохранение', 'выход', 'выручка']
1539;экзамен;['испытание', 'аттестация', 'коллоквиум', 'проверка', 'кэцзюй']
1540;внизу;['снизу', 'долу', 'низом', 'нанизу', 'сысподу']
1541;добыча;['трофей', 'добывание', 'получение', 'пожива', 'промысел']
1542;проявление;['выражение', 'изъявление', 'демонстрирование', 'демонстрация', 'пробуждение']
1543;пуля;['жакан', 'пулька', 'преферанс', 'слух', 'новость']
1544;жест;['движение', 'телодвижение', 'знак', 'мановение', 'поступок']
1545;постараться;[]
1546;соединить;[]
1547;убедить;[]
1548;электрический;['пневмоэлектрический', 'пьезоэлектрический', 'сейсмоэлектрический', 'динамоэлектрический', 'турбоэлектрический']
1549;задавать;[]
1550;свидетельство;['подтверждение', 'показание', 'аттестат', 'верификация', 'полис']
1551;заложить;[]
1552;нервный;['дерганный', 'беспокойный', 'импульсивный', 'нервозный', 'нервический']
1553;отлично;['великолепно', 'здорово', 'чудесно', 'идеально', 'восхитительно']
1554;ассоциация;['альянс', 'группа', 'сообщество', 'объединение', 'содружество']
1555;салон;['автосалон', 'авиавыставка', 'авиасалон', 'гостиная', 'выставка']
1556;заметный;['примечательный', 'большой', 'внушительный', 'значительный', 'крупный']
1557;корова;['буренка', 'коровка', 'коровушка', 'рогатка', 'пеструха']
1558;молчание;['радиомолчание', 'безмолвие', 'гарпократ', 'затишье', 'молчанка']
1559;отпуск;['отгул', 'декрет', 'отпускание', 'отжиг', 'металлообработка']
1560;питание;['энергопитание', 'кормление', 'прокормление', 'довольствие', 'продовольствие']
1561;реализовать;['исполнять', 'сделать', 'осуществить']
1562;девчонка;['девчушка', 'девушка', 'девочка', 'пацанка', 'девчушечка']
1563;капля;['капелька', 'дождинка', 'мало', 'крупица', 'крошка']
1564;важнейший;['ключевой', 'главный', 'центральный', 'существеннейший', 'преобладающий']
1565;выяснить;[]
1566;стратегический;[]
1567;исполнять;['петь']
1568;общаться;['контактировать', 'реализовывать']
1569;одинокий;['разобщенный', 'уединенный', 'безродный', 'сирый', 'затерянный']
1570;повернуть;[]
1571;бюджетный;['экономный', 'выгодный', 'госбюджетный']
1572;останавливаться;[]
1573;дар;['дарование', 'благостыня', 'подношение', 'преподношение', 'презент']
1574;поставка;['обеспечение', 'снабжение', 'привоз', 'сдача', 'доставка']
1575;оркестр;['ансамбль', 'банда', 'сверхоркестр', 'капелла', 'гамелан']
1576;совершать;['творить']
1577;воевать;[]
1578;выдавать;[]
1579;задать;[]
1580;ненавидеть;[]
1581;родить;[]
1582;интервью;['беседа', 'опрос', 'телеинтервью', 'блицинтервью', 'радиоинтервью']
1583;критика;['разбирание', 'самокритика', 'кинокритика', 'телекритика', 'критиканство']
1584;наступать;[]
1585;двенадцать;['дюжина', 'двунадесять']
1586;миллиард;['биллион', 'мильярд', 'число']
1587;ответственный;['решающий', 'серьезный', 'руководящий', 'обязательный', 'надежный']
1588;спасибо;['благодарю', 'благодарствую', 'благодарствуйте', 'спасибочки', 'мерси']
1589;выявить;[]
1590;пожар;['пламя', 'пожаротушение', 'пал']
1591;предупредить;[]
1592;рыночный;['коммерческий', 'базарный', 'сравнительный']
1593;набрать;[]
1594;предназначить;[]
1595;тщательно;['детально', 'скрупулезно', 'пунктуально', 'точно', 'филигранно']
1596;холод;['мороз', 'прохлада', 'стужа', 'озноб', 'заморозки']
1597;шар;['сфера', 'зонд', 'карамболина', 'карамболь', 'спидбол']
1598;компонент;['составляющая', 'элемент', 'ингредиент', 'часть', 'деталь']
1599;статистика;[]
1600;тетка;['баба', 'женщина', 'тетушка', 'тетя', 'дама']
1601;уничтожить;[]
1602;учесть;[]
1603;цикл;['круг', 'серия', 'ряд', 'оборот', 'период']
1604;чрезвычайно;['исключительно', 'очень', 'крайне', 'необыкновенно', 'разительно']
1605;освободить;[]
1606;отнюдь;['нисколько', 'абсолютно', 'ничуть', 'нимало', 'вовсе']
1607;стыдно;['зазорно', 'совестно', 'неловко', 'неудобно', 'позор']
1608;эпизод;['часть', 'фрагмент', 'отрывок', 'случай', 'сцена']
1609;якобы;['будто', 'слышно', 'говорят', 'считается', 'як']
1610;взрослый;['великовозрастный', 'большой', 'зрелый', 'старший', 'совершеннолетний']
1611;воспринимать;[]
1612;крутой;['неимоверный', 'экстраординарный', 'баснословный', 'необычайный', 'феноменальный']
1613;обида;['огорчение', 'оскорбление', 'унижение', 'пощечина', 'щелчок']
1614;обслуживание;['сервис', 'техобслуживание', 'уход', 'энергообслуживание', 'медобслуживание']
1615;потенциал;['возможности', 'ресурсы', 'талант', 'резерв', 'заряд']
1616;прекратить;[]
1617;противоположный;['диаметральный', 'контрадикторный', 'другой', 'обратный', 'противный']
1618;ненависть;['отвращение', 'злоба', 'мизантропия', 'человеконенавистничество', 'мисология']
1619;нередко;['неоднократно', 'часто', 'зачастую', 'частенько', 'почасту']
1620;персонаж;['герой', 'протагонист', 'киноперсонаж', 'агамемнон', 'федра']
1621;руль;['серворуль', 'кормило', 'гидроруль', 'баранка', 'контрруль']
1622;совещание;['заседание', 'консилиум', 'консультация', 'диалог', 'встреча']
1623;увеличить;[]
1624;наблюдаться;[]
1625;непременно;['неукоснительно', 'неизменно', 'безусловно', 'всенепременно', 'неизбежно']
1626;объединить;[]
1627;подозревать;[]
1628;религия;['вера', 'соединение', 'ислам', 'христианство', 'связь']
1629;рыжий;['рыженький', 'игреняя']
1630;справиться;[]
1631;съесть;[]
1632;текущий;['нынешний', 'актуальный', 'настоящий', 'притекающий', 'катящийся']
1633;вестись;[]
1634;молодость;['юность', 'юношество', 'младость', 'молодежь']
1635;отнести;[]
1636;различие;['отличие', 'разница', 'неравенство', 'разнообразие', 'расхождение']
1637;упомянуть;[]
1638;ядерный;['нуклеарный', 'ядровый', 'крепкий', 'хороший', 'чудный']
1639;вклад;['депозит', 'взнос', 'лепта', 'вложение', 'инвестиция']
1640;карьера;['рост', 'продвижение', 'будущность']
1641;кладбище;['погост', 'некрополь', 'спецкладбище', 'могильник', 'жальник']
1642;облако;[]
1643;обыкновенный;['азбучный', 'затасканный', 'заурядный', 'всегдашний', 'вседневный']
1644;гонка;['спешка', 'спех', 'торопливость', 'баня', 'автогонка']
1645;отдыхать;[]
1646;отчего;['почему', 'зачем', 'поэтому', 'посему', 'потому']
1647;проверять;[]
1648;рукав;['подстепок', 'пожрукав', 'заостровок', 'воложка', 'металлорукав']
1649;сокращение;['уменьшение', 'сжатие', 'сжимание', 'усечение', 'снижение']
1650;туман;['мгла', 'смог', 'марево', 'муть', 'марь']
1651;шофер;['водитель', 'автоводитель', 'автомобилист', 'дальнобойщик', 'кучер']
1652;бандит;['преступник', 'громила', 'головорез', 'разбойник', 'вор']
1653;врать;[]
1654;подлинный;['действительный', 'точный', 'чистый', 'аутентичный', 'аутентический']
1655;чемодан;['саквояж', 'кейс', 'ноша', 'поклажа', 'вайчак']
1656;атака;['дегаже', 'нападение', 'редублеман', 'форсинг', 'налет']
1657;вынужденный;['принужденный', 'обязанный', 'индуцированный', 'необходимый', 'приневоленный']
1658;заработать;[]
1659;превращаться;[]
1660;роза;['цветок', 'растение', 'розоцветный', 'розочка', 'розан']
1661;указ;['распоряжение', 'постановление', 'приказ', 'ярлык', 'повеление']
1662;восстановление;['возобновление', 'обновление', 'исправление', 'возрождение', 'оживление']
1663;грубый;['невоспитанный', 'дерзкий', 'непозволительный', 'грубоватый', 'жесткий']
1664;сложность;['трудность', 'трудоемкость', 'запутанность', 'затейливость', 'хитрость']
1665;создаваться;[]
1666;игрок;['геймер', 'шахматист', 'участник', 'картежник', 'доминошник']
1667;плыть;[]
1668;побывать;[]
1669;построение;['организация', 'композиция', 'выстраивание', 'базирование', 'сгенерирование']
1670;продолжение;['продление', 'экстраполяция', 'пролонгация', 'пролонгирование', 'экстраполирование']
1671;скандал;['бесчинство', 'ссора', 'бесчиние', 'дебош', 'история']
1672;труп;['покойник', 'прах', 'мертвец', 'останки', 'тело']
1673;коечто;[]
1674;металлический;['стальной', 'сборнометаллический', 'металлорудный', 'легкометаллический', 'резкий']
1675;происхождение;['начало', 'возникновение', 'причина', 'корень', 'основание']
1676;путешествие;['поездка', 'странствие', 'поход', 'турне', 'рейс']
1677;справедливость;['правосудие', 'честность', 'объективность', 'законность', 'астрея']
1678;тонна;['единица', 'миллиер']
1679;абсолютный;['безусловный', 'неограниченный', 'совершенный', 'полный', 'беззаветный']
1680;гарантия;['залог', 'ручательство', 'заверение', 'страховка', 'обеспечение']
1681;мгновенно;['сразу', 'молниеносно', 'вмиг', 'мигом', 'непродолжительно']
1682;вождь;['глава', 'воевода', 'руководитель', 'фюрер', 'дуче']
1683;месторождение;['залежи', 'агаджари', 'спесартин', 'бутцен']
1684;мина;['мера', 'единица', 'снаряд', 'заряд', 'гримаса']
1685;орден;['разряд', 'крест', 'награда', 'орденок', 'меджидие']
1686;пластинка;['ламелла', 'шпатель', 'шлиф', 'кашировка', 'палетка']
1687;рассматриваться;[]
1688;уважать;[]
1689;выскочить;[]
1690;крестьянин;['мужик', 'аграрник', 'фермер', 'хлебороб', 'селянин']
1691;образоваться;[]
1692;проговорить;[]
1693;хранить;[]
1694;юноша;['парень', 'юнец', 'мальчик', 'отрок', 'яппи']
1695;бабка;['старушонка', 'старуха', 'старушенция', 'старушка', 'бабушка']
1696;вызов;['требование', 'испытание', 'призыв', 'приглашение', 'радиовызов']
